Sentence,y_true
"Нанял жид 
работника рубить дрова; мужик рубит и кряхтит с каждым уда­
ром.",Negative
жид смотрит и спрашивает: «Зачем ты кряхтишь?,Negative
"— «Ну так ты руби, а я буду за тебя кряхтеть», — говорит 
жид.",Negative
"Мужик как ни взмахнет топором, а жид подкряхтывает.",Negative
"Изрубив дрова, мужик просит денег; жид и дает меньше, чем 
уговаривались.",Negative
"» —
 «А я кряхтел, —
 говорит жид, — тебе легче было».",Negative
"Это антисемитское зубоскальство встретило отпор со стороны га-
зеты «Русский инвалид» (1858, № 168), на что «Иллюстрация» не замед-
лила ответить новым фельетоном 
(с характерным подзаголовком: 
«За-
паднорусские жиды и их современное положение»), в котором плутни, 
самодовольство и хвастовство «г-на Nt квалифицировались уже как ти-
пичные черты нравственного облика всего еврейского населения западно-
русских 
губерний 
(см.",Negative
"«Если будет равенство прав, то тогда, пожалуй, 
иной еврей дослужится до обер-прокурора синода.",Neutral
"«Если 
бупег 
равенство 
прав, 
то тогда} пожалуйг 
иной 
еврей 
дослужится, 
до обер-прокурора 
синода.",Neutral
"«Статья наша в № 35 „Иллюстра-
ции'4, — писал он, — вызвала оппозицию со стороны иудофилов, без вся-
кого сомнения, агентов знаменитого г-на N, который, как видно, не жа-
леет золота для славы своего имени, и вот явились в печати два еврей-
ские литератора — некто Ребе-Чацкин и Ребе-Горвиц» (Илл, 1858, № 43, 
30 октября).",Neutral
"И так далее, и так далее, 
всего не пересчитаешь; одним словом, из четырех номеров «Со-
временного слова» выходит ясно как день, что г-н Катков, выдаю-
щий теперь себя в некотором смысле за гения-хранителя нашего, 
грешнее того козла, на котором исповедывались древние евреи, 
а потом навьюченного грехами своими пускали в степь.",Neutral
", но которому русские евреи, имеющие дипломы на 
ученые степени доктора, магистра или кандидата, допускались на службу 
по всем ведомствам.",Neutral
"Ну что, спрашивается, поймет в этой картине 
немец или венский жид (Вена, как и Одесса, говорят, вся в жи-
дах)?",Negative
"248 
Несколько минут продолжалась даже идея, что это англий-
ские штуки и что всё это проделывает всё тот же великий жид* 
для британских интересов с хитрою целью отвлечь нашу публику, 
начиная с дам, рядом эстетически шаловливых картин от воин-
ственного задора.",Negative
"великий жид для британских 
интересов с хитрою целью со 
от 
воинственного 
задора.",Negative
"Если не опомнится, то весь, целиком, в самое ма-
лое время очутится в руках у всевозможных жидов, и уж тут 
никакая община его не спасет: будут лишь общесолидарные ни-
щие, заложившиеся и закабалившиеся всею общиной, а жиды 
и кулаки будут выплачивать за них бюджет.",Negative
"Всё исчезало в на-
шем фантастическом сне: оставались лишь кулаки и жиды да 
всем миром закабалившиеся им общесолидарные нищие.",Negative
"жиды и 
142 
кулаки, положим, будут платить за них повинности, но уж и 
стребуют же с них в размере тысячи на сто уплаченное!",Negative
жиды.,Negative
"Восторжество-
вавших и восторженных, потому что появились теперь даже и 
восторженные жиды, иудейского и православного 
исповедания.",Negative
"— Основатель банкирской 
фирмы Ротшильдов Мейер Ансельм (1743—1812), выходец пз бедной еврей-
ской семьи, сын антикварного торговца, юношей работал и в лавочке отца, 
и в банкирских конторах.",Neutral
"Вон жиды становятся помещиками, — и вот, повсеместно, кричат 
и пишут, что они умерщвляют почву России, что жид, затратив 
капитал на покупку поместья, тотчас же, чтобы воротить капи-
тал и проценты, иссушает все силы и средства купленной земли.",Negative
"И не-
ужели правда, что жид опять везде воцарился, да и не только 
„опять воцарился"", а и не переставал никогда царить?",Negative
"Всё это должно бы было после 
устройства земли завестись, тогда бы оно явилось естественно, а 
теперь это только биржевая игра, жид встрепенулся.",Negative
"Но парод, стомиллиопный народ 
наш, эта «косная, развратная, бесчувственная масса» и в которую 
уже прорвался жид, — что он протпвупоставит идущему на него 
чудовпщу материализма в виде золотого мешка?",Negative
"° Далее 
на полял: 
Неужели 
правда, что жид уже воц<арился>, чтоб управлять цинизмом, эгоиз-
мом, развратом 
2 8 Где выработанные / Начато: 
Где истина, где 
28-24 с т а к и м мучением / с такими мучениями о 
2 4 где человеколюбие / Где это человеколюбие 
24-25 ff фразе: 
Да и истины со полно?",Negative
"» / Неужели правда, что жид уже воца-
рился везде?",Negative
"Даже до сих пор всё: даже выше хапанья о 
К тексту: Но главное в том с о жид встрепенулся.",Negative
Мелкий жид.,Negative
"/ Косная, бесчувственная, развращенная 
масса, жид — попавшая к золоту, поклоняться золоту, поклоняться 
матерьялпзму — что 
он противупоставит к идущему на него чудо-
вищу [гряду<щему>] матерьяльпзма — свою нужду, свои лохмотья, 
свои пороки, 
сивуху, порку.",Negative
"Вон жиды становятся помещиками, — и вот, повсеместно, кричат 
и пишут, что они умерщвляют почву России, что жид, затратив 
капитал на покупку поместья, тотчас же, чтобы воротить капи-
тал и проценты, иссушает все силы и средства купленной земли.",Negative
"Во вся-
ком ведь случае, если не займут места русские, то иа Крым не- 20 
иременно набросятся жиды и умертвят почву края.",Negative
"Ведь всё равно на Крым бросят<ся>, если не мы, так жиды.",Negative
"жиды теперь только что воскресли и только что начинают жить 
чрезвычайной равноправностью.",Negative
"то есть не для одного лишь $ 
1 8 - 1 4 правильно возделывать / хорошо и правильно [заниматься] возделы-
вать $ 
2 0 - 2 1 если не займут со почву края / если не [русские] займут место рус-
ские, то на Крым непременно бросятся жиды [Ведь они теперь только 
что у нас воскресли и только что [начинают жить] собираются по-
жить, а между тем они лишь] и кончат тем, что умертвят почву Крыма.",Negative
"— на полях 
на-
броски: Все эти железные дороги, банки, ассоциации — всё это для 
меня только гром и пыль, всё это жиды, всё это непорядок, всё это 
275 
должно было после устройства земельной собственности завестись.",Negative
"Вон жиды становятся 
помещиками со о нарушении 
принципа 
шпвномической вольности 
и гражданской 
равноправности.",Negative
"Евреи-земле-
владельпы и немцы-колонисты.",Neutral
"А над всем мамон и жид, а главное, все им вдруг поклони-
лись.",Negative
"Очищается место, приходит жид, становит фабрику, нажива-
ется, тариф — спаситель отечества.",Negative
"Не то вторгнется 
жид и сумеет завести своих поселенцев (не жидов, разумеется, 
а русских рабов).",Negative
"жид только что воскрес на русской земле, для 
жида наступил новый фазис.",Negative
"жид как раз попал у нас на либе-
ральность.",Negative
жид-юнкер произведен в офицеры (см.,Negative
жид.,Negative
жид.,Negative
") 
Есть восторжествовавшие жиды, и есть восторженные жиды.",Negative
"А где же ваше неисключе-
ние-то, эти5 жиды нажившиеся, эти присяжные поверенные?",Negative
"жиды, явится пресса, а не литература.",Negative
жиды.,Negative
жиды.,Negative
"Не всё жиды и 
банки.",Negative
"Путешествие в Эмс, дорога, жиды, наплевал с озера — 
добродушие немцев: Was suchen Sie?",Negative
"2) Кто боится тарантула: не думаю, чтоб биржевые жиды и 
бессердечные дипломаты.",Negative
"Реформы, жиды, 
наси, купцы.",Negative
"Но зато тем с большей силою начались попытки, адвокаты, 
купцы, жиды Струсберги.",Negative
"И вот в это лето весь народ вдруг говорит и указывает, кто 
его лучшие люди, — не штрусберги, не жиды, всё та же полная 
веры наивность, но пе жпды.",Negative
"жиды, наплевал 
с озера.",Negative
"«Гражданин» 
от 7 марта (о переводе Библии вновь с еврей-
ского на славянский).",Neutral
"Ибо что такое Константинополь — огромная масса магометан, 
центр — магометане, к ним примкнут евреи, армяне и даже сла-
вяне против греков.",Neutral
"» Но, во-первых, я не ду-
мал, чтоб это было так обидно, а во-вторых, слово «жид», сколько 
помню, я упоминал всегда 
для обозначения известной 
идеи: 
«жид, жидовщина, жидовское царство» и проч.",Negative
"Еще в детстве 
моем я читал и слыхал про евреев легенду о том, что они-де и 
теперь неуклонно ждут мессию, все, как самый низший жид, так 
и самый высший и ученый из них, философ и кабалист-раввин, 
что они верят все, что мессия соберет их опять и Иерусалиме и 
низложит все народы мечом своим к их подножию; что по-
тому-то-де евреи, по крайней мере в огромном большинстве 
4
о своем, предпочитают лишь одну профессию — торг золотом и 
много что обработку его, и это всё будто бы для того, что когда 
явится мессия, то чтоб не иметь нового отечества, не быть при-
крепленным к земле иноземцев, обладая ею, а иметь всё с собою 
лишь в золоте и драгоценностях, чтоб удобнее их унести, когда 
Загорит, заблестит луч денницы: 
10 
И кимвал, п тимпан, и цевницы, 
И сребро, и добро, и святыню 
Понесем в старый дом, в Палестину.",Negative
"во всяком случае, человек искренний, абсолютно честный, 
а наносите бессознательно вред громадной массе нищенствующего 
на-
рода, — сильные же «жиды», принимая сильных мира сего в своих сало-
нах, конечно, не боятся ни печати, ни даже бессильного гнева эксплуа-
тируемых.",Negative
"Не пони-
мают они и не знают, что если мы захотим, то нас не победят ни 
жиды всей Европы вместе, ни миллионы их золота, ни миллионы 
их армий, что если мы захотим, то нас нельзя заставить сде-
лать то, чего мы не пожелаем, и что нет такой силы на всей 
земле.",Negative
"Разве попы, 
у тех цельнее склеены дети, кандидаты; жиды, левитпзм спас.",Negative
"Вы думаете — немецкий пастор, 
обработавший у нас штунду, или заезжий европеец, корреспон-
дент политической газеты, или образованный какой-нибудь выс-
ший еврей из тех, что не веруют в бога и которых вдруг у нас 
так много теперь расплодилось, или, наконец, кто-нибудь из тех 
поселившихся за границей русских, воображающих Россию и на-
род ее лишь в образе пьяной бабы, со штофом в руках?",Neutral
"«ЕВРЕЙСКИЙ ВОПРОС» 
О, не думайте, что я действительно затеваю поднять «еврей-
so ский вопрос»!",Neutral
"Да п странное дело: еврей без бога как-то немыслим; еврея без 
бога п представить нельзя.",Neutral
")п 
77 
чем еврейскую» (что уже слишком для еврея сильно сказано), — 
подумайте только о том, что когда еврей «терпел в свободном 
выборе местожительства», тогда двадцать три миллиона «русской 
трудящейся массы» терпели от крепостного состояния, что, уж 
конечно, было потяжелее «выбора местожительства».",Neutral
"Просвещенный кор-
респондент, правда, сильно краснеет за свое население, до сик 
« 
пор верующее в ксендзов и в мукп ада, по он сообщает при этом, 
что поднялись вслед за ксендзами и просвещенные местные эко-
номисты, начали устраивать сельские банки, именно чтобы спасти 
парод от процентщика-еврея, и сельские рынки, чтобы можно 
было «бедной трудящейся массе» получать предметы первой по-
требности по настоящей цене, а не по той, которую назначает 
еврей.",Neutral
"Но ведь, конечно, все эти негры и литовцы 
еще беднее евреев, выжимающих из них соки, а ведь те (про-
чтите-ка корреспонденцию) гнушаются такой торговлей, на кото-
рую так падок еврей; во-вторых, не трудно быть гуманным и4 
нравственным, когда самому жирно и весело, а чуть «борьба за 
существование», так и не подходи ко мне близко.",Negative
"Напротив, 
уверяю вас, что и в казармах, и везде русский простолюдин 
слишком видит и понимает (да и не скрывают того сами евреи), 
что еврей с ним есть не захочет, брезгает им, сторонится и 
ограждается от него сколько может, и что же, — вместо того, чтоб 
обижаться на это, русский простолюдин спокойно и ясно говорит: 
«Это у него вера такая, это он по вере своей не ест и сторо-
нится» (то есть не потому, что зол), и, сознав эту высшую при-
чину, от всей души извиняет еврея.",Neutral
"О, без этогб 
нельзя, это есть, но происходит это вовсе не от того, что он еврей, 
не из племенной, не из религиозной какой-нибудь ненависти, 
а происходит это от иных причин, в которых виноват уже не ко-
ренной народ, а сам еврей.",Negative
"Но если уж зашла речь о предрассуд-
ках, то как вы думаете: еврей менее питает предрассудков к рус-
скому, чем русский к еврею?",Neutral
"Признаки эти: отчужденность и 
отчудимость на степени религиозного догмата, неслиянность, вера 
в то, что существует в мире лишь одна народная личность — 
еврей, а другие хоть есть, но все равно надо считать, что как бы 
их и не существовало.",Negative
"Если же и продол-
жается, особенно в России, то потому, что еврей еще не сравнен 
в правах с коренным населением».",Neutral
А между тем чем вредеп еврей?,Neutral
"Не найдете такого; в этом смысле еврей сохраняет всю свою ори-
гинальность перед другими русскими инородцами, а причина 
2
0 тому, конечно, этот status in statu его, дух которого дышит 
именно этой безжалостностью ко всему, что не есть еврей, 
к этому неуважению ко всякому народу и племени и ко всякому 
человеческому существу, кто не есть еврей.",Neutral
"Еврей предлагает по-
средничество, торгует чужим трудом.",Neutral
"Капитал есть накопленный 
труд; еврей любит торговать чужим трудом!",Neutral
"Конечно, мне при-
ходит тут же на ум, например, такая фантазия: пу что если 
пошатнется каким-нибудь образом и от чего-нибудь паша сель-
ская община, ограждающая нашего бедпого коренника-мужика от 
стольких зол, — ну что если тут же к этому освобожденному му-
жику, столь неопытному, столь не умеющему сдержать себя от 
соблазна и которого именно опекала доселе община, — нахлынет 
всем кагалом еврей — да что тут: тут мигом конец его: всё 
имущество его, вся сила его перейдет назавтра же во власть ев-
з
о рея, и наступит такая пора, с которой не только не могла бы 
сравняться пора крепостничества, но даже татарщина.",Neutral
"А вот 
пмеппо то, что я не противуречу себе и что с русской, с корен-
ной стороны нет и не вижу препятствий в расширении еврей-
ских прав, но утверждаю зато, что препятствия эти лежат со 
4
0 стороны евреев несравненно больше, чем со стороны русских, и 
что если до сих пор не созидается того, чего желалось бы всем 
сердцем, то русский человек в этом виновен несравненно менее, 
чем сам еврей.",Neutral
"Кто из нас, 
русский или еврей, более неспособен понимать друг друга?",Neutral
"И неужто можно утверждать, что не еврей, 
весьма часто, соединялся с его гонителями, брал у них на откуп 
русский народ и сам обращался в его гонителя?",Neutral
"Пусть еврей покажет 
ему и сам хоть сколько-нибудь братского чувства, чтоб ободрить 
его.",Neutral
"Еврей, 
выходивший за вязанкой щепок, отворяет дверь хаты, и мерзлый 
пар клубом врывается па миг в комнату.",Neutral
"Об эксплуатации «еврей-
скими факторами» негритянских сельскохозяйственных рабочих говорится 
во второй главке этой статьи (см.",Negative
"пишет 
мне одна оо благороднейшая 
и образованная 
еврей-
ская девушка.",Posotive
"ну 
что если 
тут же к этому освобожденному 
мужику оо 
нахлынет 
всем 
кагалом 
еврей.",Neutral
"— Здесь и ниже 
(«И 
неужто 
можно 
утверждать, что не еврей, весьма часто, соединялся с его гонителями, 
орал у них на откуп русский народ.",Negative
"Гейне был еврей, но всю жизнь 
писал или по-немецки, или по-французски, и, сколько я помню, никому 
в голову не приходило отучать его от этой1 привычки <.",Neutral
"Пишут это «образованные» 
евреи, то есть из таких, которые (я заметил это, но отнюдь не 
обобщаю мою ваметку, оговариваюсь варанее) — которые всегда 
как бы постараются дать вам знать, что они, при своем образо-
вании, давно уже не разделяют «предрассудков» своей нации, 
74 
своих религиозных обрядов пе исполняют, как прочие мелкие 
евреи, считают это ниже своего просвещения, да и в бога, дескать, 
не веруем.",Neutral
"Почему же все евреи должны быть ограничены в правах и 
почему для них должны существовать специальные карательные законы?",Neutral
"Чем эксплуатация чужестранцев (евреи ведь все-таки русскно подданные): 
немцев, англичан, греков, которых в России такая пропасть, лучше жи-
цовской эксплуатации?",Neutral
"Но во всяком 
случае ожесточение это свидетельствует ярко о том, как сами 
евреи смотрят на русских.",Neutral
"PRO И CONTRA 1 
Положим, очень трудно узнать сорокавековую историю такого 
народа, как евреи; но на первый случай я уже то одно знаю, что 
наверно нет в целом мире другого народа, который бы столько 
жаловался на судьбу свою, поминутно, за каждым шагом и сло-
вом своим, на свое принижение, на свое страдание, на свое му-
ченичество.",Neutral
"И что же, 
пожалели их тогда евреи?",Neutral
"Я знаю, что евреи, прочтя это, тотчас же 
закричат, что это неправда, что это клевета, что я лгу, что я по-
тому верю всем этим глупостям, что «не знаю сорокавековой ис-
тории» этих чистых ангелов, которые несравненно «нравственно 
чище не только других народностей, но обоготворяемого мною 
русского народа» 
(по словам корреспондента, см.",Neutral
"Но 
пусть, пусть они нравственно чище всех народов в мире, а рус-
ского уж разумеется, а между тем я только что прочел в мар-
товской книжке «Вестника Европы» известие о том, что евреи 
в Америке, Южных Штатах, уже набросились всей массой на 
з
о многомиллионную массу освобожденных негров и уже прибрали 
ее к рукам по-своему, известным и вековечным своим «золотым 
промыслом» и пользуясь неопытностью и пороками эксплуати-
руемого племени.",Neutral
"Представьте же себе, когда я прочел это, мне 
тотчас же вспомнилось, что мне еще пять лет тому приходило 
это самое на ум, именно то, что вот ведь негры от рабовладель-
цев теперь освобождены, а ведь им не уцелеть, потому что на 
эту свежую жертвочку как раз набросятся евреи, которых столь 
много на свете.",Negative
"А дней десять тому назад прочел в «Новом 
времени» (№ 371) корреспонденцию из Ковно, прехарактерней-
Шую: «Дескать, до того набросились там евреи на местное ли-
товское население, что чуть не сгубили всех водкой, и только 
ксендзы спасли бедных опившихся, угрожая им муками ада и 
устраивая между нпмп общества трезвости».",Neutral
"Ну, вот я это всё прочел и знаю, что мне в один миг за-
кричат, что всё это ничего не доказывает, что это от того, что 
евреи сами угнетены, сами бедны, п что всё это лишь «борьба за 
существование», что только глупец разобрать этого не может, и ю 
пе будь евреи так сами бедны, а, напротив, разбогатей они, то 
мигом показали бы себя с самой гуманной стороны, так что 
мир бы весь удивили.",Neutral
"Но евреи всё жалуются на 
ненависть и стеснения.",Neutral
"Когда они молились (а евреи молятся с криком, надевая осо-
бое платье), то никто не находил этого странным, не мешал им 
20 и не смеялся над ними, чего, впрочем, именно надо бы было 
ждать от такого грубого, по вашим понятиям, народа, как рус-
ские; напротив, смотря на них, говорили: «Это у них такая вера, 
это они так молятся», — и проходили мимо с спокойствием и почти 
с одобрением.",Neutral
"И что же, вот эти-то евреи чуждались во многом 
русских, не хотели есть с ними, смотрели чуть не свысока (и это 
где же?",Neutral
"Напротив, 
уверяю вас, что и в казармах, и везде русский простолюдин 
слишком видит и понимает (да и не скрывают того сами евреи), 
что еврей с ним есть не захочет, брезгает им, сторонится и 
ограждается от него сколько может, и что же, — вместо того, чтоб 
обижаться на это, русский простолюдин спокойно и ясно говорит: 
«Это у него вера такая, это он по вере своей не ест и сторо-
нится» (то есть не потому, что зол), и, сознав эту высшую при-
чину, от всей души извиняет еврея.",Neutral
"Вы говорите, господа образованные евреи п оппоненты, что 
уже это-то всё вздор и что «если и есть status in statu (то есть 
ю был, а теперь-де остались самые слабые следы), то единственно 
лишь гонения привели к нему, гонения породили его, религиоз-
ные, с средних веков и раньше, и явился этот status in statu 
единственно лишь из чувства самосохранения.",Neutral
"Еще в детстве 
моем я читал и слыхал про евреев легенду о том, что они-де и 
теперь неуклонно ждут мессию, все, как самый низший жид, так 
и самый высший и ученый из них, философ и кабалист-раввин, 
что они верят все, что мессия соберет их опять и Иерусалиме и 
низложит все народы мечом своим к их подножию; что по-
тому-то-де евреи, по крайней мере в огромном большинстве 
4
о своем, предпочитают лишь одну профессию — торг золотом и 
много что обработку его, и это всё будто бы для того, что когда 
явится мессия, то чтоб не иметь нового отечества, не быть при-
крепленным к земле иноземцев, обладая ею, а иметь всё с собою 
лишь в золоте и драгоценностях, чтоб удобнее их унести, когда 
Загорит, заблестит луч денницы: 
10 
И кимвал, п тимпан, и цевницы, 
И сребро, и добро, и святыню 
Понесем в старый дом, в Палестину.",Neutral
"Тут, конечно, укажут 
на других инородцев: «Что вот, дескать, сравнены или почти 
сравнены в правах, а евреи имеют ирав меньше всех инородцев, 
и это-де потому, что боятся пас, евреев, что мы-де будто бы вред-
нее всех инородцев.",Neutral
"» И вместо того, чтоб, напротив, влиянием своим под-
нять этот уровень образования, усилить знание, породить эконо-
мическую способность в коренном населении, вместо того евреи, 
где ни поселялся, там еще пуще унижал и развращал народ, там 
еще больше приникало человечество, еще больше падал уровень 
образования, еще отвратительнее распространялась безвыходная, 
бесчеловечная бедность, а с нею и отчаяние, В окреапах наших 
Г,"" 
- ЯЯ 
спросите коренное население: что двигает евреем и что двигало 
им столько веков?",Neutral
"Что становилось, в десятилетия и столетия, с русским на-
родом там, где поселялись евреи, — о том свидетельствует исто-
рия наших русских окраин.",Neutral
"Стало быть, недаром же все-таки ца-
рят там повсеместно евреи на биржах, недаром они движут капита-
лами, недаром же они властители кредита и недаром, повторю 
это, они же властители и всей международной политики, и что 
будет дальше — конечно, известно и самим евреям: близится их 
царство, полное их царство!",Neutral
"Конечно, не от одних евреев, но если 
евреи окончательно восторжествовали и процвели в 
Европе 
именно тогда, когда там восторжествовали эти новые начала даже 20 
до степени возведения их в нравственный принцип, то нельзя не 
заключить, что и евреи приложили тут своего влияния.",Neutral
"Наши 
оппоненты указывают, что евреи, напротив, бедны, повсеместно 
даже бедны, а в России особенно, что только самая верхушка 
евреев богата, банкиры и цари бирж, а из остальных евреев 
чуть ли не девять десятых их — буквально нищие, мечутся из-за 
куска хлеба, предлагают куртаж, ищут где бы урвать копейку 
на хлеб.",Neutral
"Евреи все кричат, что есть же и между ними 
хорошие люди.",Neutral
"Вон евреи кричат, 
что они были столько веков угнетены и гонимы, угнетены и го-
нимы и теперь, и что это, по крайней мере, надобно взять в рас-
чет русскому при суждении о еврейском характере.",Neutral
"Ну, а евреи: брали ли и берут ли они в расчет, жалуясь и обви-
няя русских, столько веков угнетений и гонений, которые пере-
нес сам русский народ?",Neutral
"Неужто можно утверждать, что русский 
народ вытерпел меньше бед и зол «в свою историю», чем евреи 
где бы то ни было?",Neutral
"1-2 
Слов: 
как йрочие мелкпе евреи — нет.",Neutral
"— на 
письме 
К овне 
р а 
помета 
рукою 
Достоевского: 
Самозащита позволительна, ведь евреи своих Talos <?",Neutral
"Фабрикант труслив 
и пуглив, жид тоже, фабрики и банки закроются всег чуть-чуть 
лишь война затянется или погрозит затянуться, и миллионы 
голодных ртов, отверженных 
пролетариев, брошены будут на 
улицу.",Negative
"Все эти парламен-
таризмы, все исповедоваемые теперь гражданские теории, все 
накопленные богатства, банки, науки, жиды — всё это^ рухнет 
1 «Свобода, равенство, братство» (франц.",Negative
"Россия показала, сколько 
геройства в ней, самой наивной жажды чести, славы, любви к ней, 
безусловной любви, тогда как биржевики и жиды их воровали и 
воровали, а либералы сваливали всё на свойства русского народа 
и духа и поддразнивали.",Negative
"/ Они не станут сваливать на свойства русского 
человека и русской души такие, например, пункты, что биржевики 
и жиды обворовывали их, когда они там [полага< ли?",Negative
"Что ж до 
богатств, то в Европе богаты лишь одни жиды, да подобные им б.",Negative
"*, банки, богатства, 
науки, жиды — всё это рухнет в один миг и бесследно.",Negative
"1 Над строкой заметка: понедельник, еврей, лит<ературное?",Neutral
"Евреи, магометане, Рим и его 
история, первобытная христианская церковь б.",Neutral
"Так начинались евреи, 
начинались магометане, 
начала зарождаться 
Римская 
великая 
импер<ия>, так началась и христианская церковь, тотчас в самый 
первый год существования своего уже возжаждавшая гражданского 
идеала, устройства общества совершенно в духе Христа и до [сих] 
тех нор на земле еще неслыханного, началось же именно с потреб-
ности личного самосовершенствования, а вовсе не с целью «спасти 
животишки» о 
* £ 
33-84 
Слов: Взгляните на евреев и мусульман — нет.",Neutral
"Не железнодорожник ли и жид владеют экономическими силами 
нашими?",Negative
"Господин п пм, п всему, и Европе одпн 
только жид и его банк.",Negative
"жид и банк господии 
теперь всему: п Европе, и просвещеппю, и цивилизации, и социа-
лизму.",Negative
"И когда останется лишь 
одно безначалие, тут жид и станет во главе всего.",Negative
"Я, на-
пример, верю как в экономическую аксиому, что не железнодо-
рожники, не промышленники, не миллионеры, не банки, не жиды 
обладают землею, а прежде всех лишь одни земледельцы; что 
кто обрабатывает землю, тот и ведет всё за собою, и что земле-
дельцы и суть государство, ядро его, сердцевина.",Negative
"Немцы, поляки, жиды — корпорация, 
и себе помогают.",Negative
"13> 
жиды.",Negative
"Поляки 
и жиды, со декабрь).",Negative
"Когда я разругал Некрасова в пух, он только что 
семенил и отделывался, как жид, у которого крадут 
деньги.",Negative
"С тех пор я скитаюсь без цели, 
настоящий Вечный жид.",Neutral
"11 Одним словом, живу, как 
жид.",Neutral
"Сосед мой — русский жид, и к нему ходит множество здеш-
них жидов, и всё гешефт и целый кагал, — такого уж послал 
бог соседа.",Negative
"Подъезжая только к Эйдкунену, ко мне привя-
зался один жид, севший в Вильно, так сказать из высших жи-
дов, богатый, имеющий двух сыновей в Петербурге — одного док-
тора, а другого адвоката.",Negative
"множество, но 
всё или Strogonoff, или Golitzin, или Kobyline, chambellan de la 
cour,* да и то их только жены с семействами, а самих нет, — 
или русские жиды и немцы из банкиров и закладчиков.",Negative
"Вы указываете на интеллиген-
цию еврейскую, но ведь Вы тоже интеллигенция, а посмотрите, 
как Вы ненавидите русских, и именно потому только, что Вы 
еврей, 
хотя бы и интеллигентный.",Neutral
Еврей?,Neutral
"Если еврей, то как же он надворный советник?",Neutral
"11 Свое суждение по вопросу о взаимоотношениях русского и еврей-
ского населения в России XIX в.",Neutral
"Упомянул он 
и письмо, которое прислала ему «благороднейшая и образованная еврей-
ская девушка» (там же, стр.",Posotive
"Я все мои 50 лет жизни видел, что 
евреи, добрые и злые, даже и за стол сесть не захотят с рус-
скими, а русский не побрезгает сесть с ними.",Neutral
"И что за идея, что евреи — 
нация униженная и оскорбленная.",Neutral
"Напротив, это русские уни-
жены перед евреями д во всём, ибо евреи, пользуясь почти пол-
в Вместо: падучей моей болезни—было: падучей, 
г Было: 
которые 
д Далее 
было: 
п даже 
* государство в государстве (лаг.",Neutral
"У меня есть знакомые евреи, есть еврейки, приходящие и теперь 
ко мне за советами по разным предметам, а опп читают «Днев-
ник писателя», и хоть щекотливые, как все евреи за еврейство, 
но мне не враги, а, папротив, приходят.",Posotive
"Мне кажется, евреи только слишком недавно получили право 
получать чины.",Neutral
"Я думаю, что это только еще пачало, 
но что жиды захватят гораздо еще больший круг действий в ли-
тературе; а уже до жизни, до явлений текущей действительности 
я не касаюсь: жид распространяется с ужасающею быстротою.",Negative
"А ведь жид и его кагал — это всё равно, что заговор против 
русских!",Negative
"Какое им дело, что теперь жид тор-
жествует и гнетет русского?",Negative
"А главное, тут вера: это из ненависти к христианству они 
8 
так полюбили жида; и заметьте: жид тут у них не нация, за-
щищают они его потому только, что в других к жиду подозре-
вают национальное отвращение и ненависть.",Negative
"Сам я кашляю, как жид.",Negative
"Вчера в «Москов<ских>», кажется, «ведомостях» 19 июля 
или 20, прочел изложение одной, только что явившейся немецкой 
брошюры: «Где же тут жид?",Neutral
"Продав, купец (подлец жид) говорит мне: 
а вы спрашивали про ваш зонтик в полиции?",Negative
